mapset,zipcode,Tn,Tx,U2,ea,Gc,G,K,Rnl,ETo
2024-09-16,85328,18.70,33.67,3.42,1.14,6415.54,6080.59,0.95,-7.00,7.42
2024-09-16,85334,19.21,34.72,3.66,1.18,6314.96,5968.28,0.95,-6.95,7.81
2024-09-16,85344,19.38,36.64,3.83,1.28,6246.35,5842.07,0.94,-6.72,8.26
2024-09-16,85364,18.18,33.08,3.08,1.14,6502.80,5999.64,0.92,-6.69,6.94
2024-09-16,85365,17.62,32.79,3.35,1.18,6467.45,5724.21,0.89,-6.18,6.94
2024-09-16,86403,20.24,39.54,3.81,1.32,6435.77,5989.09,0.93,-6.75,9.06
2024-09-16,86404,20.59,40.20,3.78,1.30,6463.48,5880.38,0.91,-6.63,9.21
2024-09-16,86406,19.40,38.47,3.82,1.36,6358.59,6031.13,0.95,-6.75,8.68
2024-09-16,86426,21.78,42.30,3.65,1.20,6434.26,5958.05,0.93,-7.18,9.74
2024-09-16,86436,20.88,40.85,3.73,1.25,6467.61,6133.88,0.95,-7.18,9.46
2024-09-16,86440,21.60,41.90,3.69,1.22,6459.15,6064.90,0.94,-7.26,9.72
2024-09-16,89010,1.45,20.92,2.90,0.53,6565.64,4767.02,0.73,-4.86,4.26
2024-09-16,89013,6.26,25.44,3.89,0.45,6531.22,5308.57,0.81,-6.39,6.21
2024-09-16,89019,17.50,33.03,4.05,0.64,6594.64,6189.93,0.94,-8.15,8.46
2024-09-16,89020,18.07,33.57,4.53,0.51,6529.81,6042.39,0.93,-8.50,9.34
2024-09-16,89029,19.45,39.96,3.58,0.97,6522.70,6102.52,0.94,-7.65,9.13
2024-09-16,89039,19.28,39.59,3.57,0.89,6499.30,6098.03,0.94,-7.87,9.07
2024-09-16,89046,16.46,36.33,3.52,0.69,6654.64,6309.01,0.95,-8.26,8.39
2024-09-16,89048,18.62,34.65,4.17,0.57,6575.90,6058.53,0.92,-8.34,9.11
2024-09-16,89060,18.57,34.17,4.31,0.54,6561.78,5966.91,0.91,-8.24,9.17
2024-09-16,89061,18.51,34.95,4.06,0.59,6593.91,6192.07,0.94,-8.50,9.03
2024-09-16,89402,0.72,14.53,3.40,0.53,6235.51,4244.61,0.68,-4.13,3.11
2024-09-16,89410,4.50,14.29,3.33,0.59,6252.39,4232.50,0.68,-4.10,3.16
2024-09-16,89422,-1.53,13.61,2.54,0.50,6390.80,4488.73,0.70,-4.31,2.78
2024-09-16,89439,-0.88,16.64,3.26,0.58,6266.84,4226.04,0.67,-4.02,3.19
2024-09-16,89444,1.53,11.41,3.24,0.50,6353.05,4485.48,0.71,-4.36,2.86
2024-09-16,89449,-1.17,9.83,3.56,0.41,6412.28,4093.88,0.64,-3.74,2.72
2024-09-16,89451,-0.20,13.82,3.43,0.50,6267.95,4364.13,0.70,-4.29,3.06
2024-09-16,89460,2.43,12.89,3.43,0.53,6321.78,4429.12,0.70,-4.34,3.09
2024-09-16,89511,-1.05,14.35,3.40,0.51,6312.92,4242.04,0.67,-4.03,3.06
2024-09-16,90001,14.39,23.20,1.90,1.55,6166.59,5319.99,0.86,-4.82,3.34
2024-09-16,90002,14.47,23.17,1.88,1.56,6172.22,5225.54,0.85,-4.68,3.30
2024-09-16,90003,14.41,23.18,1.86,1.55,6168.03,5399.45,0.88,-4.92,3.36
2024-09-16,90004,14.02,23.35,1.98,1.50,6140.90,5329.56,0.87,-4.93,3.41
2024-09-16,90005,14.12,23.36,1.95,1.51,6137.73,5293.55,0.86,-4.87,3.39
2024-09-16,90006,14.14,23.33,1.96,1.51,6132.20,5313.80,0.87,-4.90,3.39
2024-09-16,90007,14.22,23.30,1.94,1.52,6136.50,5317.74,0.87,-4.89,3.37
2024-09-16,90008,14.20,23.23,1.85,1.51,6165.21,5529.86,0.90,-5.14,3.43
2024-09-16,90010,14.07,23.38,1.96,1.50,6140.94,5343.48,0.87,-4.95,3.42
2024-09-16,90011,14.26,23.24,1.94,1.53,6151.06,5224.08,0.85,-4.73,3.33
2024-09-16,90012,13.98,23.21,2.05,1.50,6140.38,5101.65,0.83,-4.62,3.33
2024-09-16,90013,14.09,23.25,2.02,1.52,6141.88,5146.53,0.84,-4.66,3.34
2024-09-16,90014,14.09,23.24,2.00,1.51,6137.89,5213.30,0.85,-4.76,3.35
2024-09-16,90015,14.15,23.27,1.97,1.52,6136.36,5205.81,0.85,-4.74,3.35
2024-09-16,90016,14.25,23.37,1.85,1.52,6167.87,5545.31,0.90,-5.16,3.45
2024-09-16,90017,14.07,23.25,2.00,1.51,6135.45,5212.97,0.85,-4.76,3.35
2024-09-16,90018,14.24,23.35,1.90,1.52,6144.44,5411.06,0.88,-5.00,3.41
